TEXT,emoji,class
"Vacation wasted ! #vacation2017 #photobomb #tired #vacationwasted #mcgar30 #miami @ Port of…
",😜,2
"Merry Christmas you filthy little animals. Wearing a @user ugly sweater featuring Santa…
",🎄,1
"Happy 4th ya'll! @ Sausalito, California
",🇺🇸,0
"#washingtondc @ Abraham Lincoln Memorial
",🇺🇸,0
"See you all tomorrow, Monday, when our showrooms re-open for business after this #Thanksgiving…
",🇺🇸,0
"Another day, another shoe picture I love all the little details inside Disneyland! Always make…
",😜,2
"confession.... i took this gig so i could come down here and eat... #KCDanceFest2017 @ Gates…
",😜,2
"You're welcome ladies! TIM!! #soul2soultour2017 #timmcgraw @user
",😜,2
"we can't vote but hey at least we have pride ((for now…
",🇺🇸,0
"The first three ornaments on our Christmas tree this year.…
",🎄,1
"Just wanted to annoy Tricia (@ In-N-Out Burger in Austin, TX)
",😜,2
"Sympsons town in Universal Studio Hollywood @ Universal Studios Hollywood
",🇺🇸,0
"4th of July Weekend Parties! Saturday Pool Party at Nautilus Hotel in South Beach!…
",🇺🇸,0
"Happy 4th of July @ Eveleigh
",🇺🇸,0
"When you're trying to look professional. Thanks team. @ Bex Brands
",😜,2
"Merry Christmas!! Enjoying a fun night chaperoning the Summit…
",🎄,1
"Salute to the Red, White, &amp; Blue! Happy 241st Birthday, USA!!! #4thOfJuly…
",🇺🇸,0
"Estilo Breaking Bad!!! Carlsbad #californialove @ El Pollo Loco
",🇺🇸,0
"Friends don't let friends vote Trump. #imwithher #teamaniston....#hillaryclinton…
",🇺🇸,0
"Playing #talisman tonight as a family... Yes I am a nerd! @ Laguna Niguel, California
",😜,2
"Absolutely love this place...Absolutely no filter needed... #Austin #Texas @ Austin, Texas
",🇺🇸,0
"#happyflagday @ Our Home
",🇺🇸,0
"Not a st pattys pic @ Wilfrid Laurier University
",😜,2
"#1991 Have a good day :&gt; # @ University of Pittsburgh
",🇺🇸,0
"happy holidays from your favorite Slovenians @ Deep River, Connecticut
",🎄,1
"Drag Queen Christmas show with my queens. #christmas #dragqueen #holidays #utah @ Club X SLC
",🎄,1
"lovely Thai chicken salad with crispy noodles before my flight home from Miami on Friday…
",🇺🇸,0
"He's so silly @user @user @ Life Community Church
",😜,2
"New York Stock Exchange #America #july4thweekend #USA #loveyoumerica @ New York Stock Exchange
",🇺🇸,0
"This was an “electrifying” project. an absolutely beautiful 2017 Tesla Model X arrived at the…
",😜,2
"well.. maybe not the Bahamas just a nice body of fresh water @user
",😜,2
"This girl is crazy #sister #brotherlylove #bondingtime…
",😜,2
"Don't have to clean off my car cause I don't have a car. @ Bedford–Stuyvesant, Brooklyn
",🇺🇸,0
"I’m going to shed some light ( ) on LED therapy use in dermatology.  There are so many…
",😜,2
"Thanks guys for such an amazing #Halloween #chicago #illinois…
",🇺🇸,0
"And my morning starts @ Church Of The Reedemer
",😜,2
"All I want for Christmas is you, #DiddyRiese! @ Diddy Riese Cookies
",🎄,1
